N_unmapped	1269429	1269429	1269429
N_multimapping	9282535	9282535	9282535
N_noFeature	2696067	29482279	29406135
N_ambiguous	2482831	433042	402584
Cre	117	53	64
Gfp_L10a	10158	4973	5185
ENSMUSG00000102693	0	0	0
ENSMUSG00000064842	0	0	0
ENSMUSG00000051951	591	298	293
ENSMUSG00000102851	0	0	0
ENSMUSG00000103377	0	0	0
ENSMUSG00000104017	0	0	0
ENSMUSG00000103025	0	0	0
ENSMUSG00000089699	0	0	1
ENSMUSG00000103201	1	1	1
ENSMUSG00000103147	0	0	0
ENSMUSG00000103161	0	0	0
ENSMUSG00000102331	3	2	1
ENSMUSG00000102348	16	9	7
ENSMUSG00000102592	0	0	0
ENSMUSG00000088333	0	0	0
ENSMUSG00000102343	0	0	0
ENSMUSG00000025900	10	6	4
ENSMUSG00000102948	0	0	0
ENSMUSG00000104123	0	0	0
ENSMUSG00000025902	8	2	6
ENSMUSG00000104238	0	0	0
ENSMUSG00000102269	0	0	0
ENSMUSG00000096126	0	0	0
ENSMUSG00000103003	0	0	0
ENSMUSG00000104328	0	0	0
ENSMUSG00000102735	3	2	1
ENSMUSG00000098104	10	4	6
ENSMUSG00000102175	1	0	1
ENSMUSG00000088000	0	0	0
ENSMUSG00000103265	0	0	0
ENSMUSG00000103922	26	9	17
ENSMUSG00000033845	2853	1477	1376
ENSMUSG00000102275	3	1	2
ENSMUSG00000025903	3030	1466	1564
ENSMUSG00000104217	0	0	0
ENSMUSG00000033813	1592	738	854
ENSMUSG00000062588	7	2	5
ENSMUSG00000103280	99	43	56
ENSMUSG00000002459	2149	1063	1086
ENSMUSG00000091305	1	1	0
ENSMUSG00000102653	0	0	0
ENSMUSG00000085623	0	0	0
ENSMUSG00000091665	0	0	0
ENSMUSG00000033793	14676	7365	7311
ENSMUSG00000104352	0	0	0
ENSMUSG00000104046	1	1	0
ENSMUSG00000102907	0	0	0
ENSMUSG00000025905	795	381	414
ENSMUSG00000103936	0	0	0
ENSMUSG00000093015	0	0	0
ENSMUSG00000103519	0	0	0
ENSMUSG00000033774	145	76	69
ENSMUSG00000103090	0	0	0
ENSMUSG00000025907	4625	2294	2371
ENSMUSG00000090031	39	37	42
ENSMUSG00000087247	1	1	0
ENSMUSG00000103355	0	0	0
ENSMUSG00000102706	0	0	0
ENSMUSG00000103845	96	46	50
ENSMUSG00000033740	2262	1144	1118
ENSMUSG00000103329	135	64	71
ENSMUSG00000104385	3	1	2
ENSMUSG00000102135	8	2	6
ENSMUSG00000103282	0	0	0
ENSMUSG00000102534	0	0	0
ENSMUSG00000102213	0	0	0
ENSMUSG00000103629	0	0	0
ENSMUSG00000051285	3847	2007	1840
ENSMUSG00000098201	7	2	5
ENSMUSG00000103509	0	0	0
ENSMUSG00000048538	2	1	1
ENSMUSG00000103709	0	0	0
ENSMUSG00000077244	0	0	0
ENSMUSG00000102768	0	0	0
ENSMUSG00000097797	16	9	7
ENSMUSG00000103498	0	0	0
ENSMUSG00000103067	0	0	0
ENSMUSG00000102320	0	0	0
ENSMUSG00000104226	0	0	0
ENSMUSG00000103903	1	0	1
ENSMUSG00000103557	0	0	0
ENSMUSG00000025909	2735	1382	1353
ENSMUSG00000102647	2	0	2
ENSMUSG00000086235	1	0	1
ENSMUSG00000102253	0	0	0
ENSMUSG00000093970	0	0	0
ENSMUSG00000103884	0	0	0
ENSMUSG00000084353	0	0	0
ENSMUSG00000103933	30	22	8
ENSMUSG00000076135	0	0	0
ENSMUSG00000086195	0	0	0
ENSMUSG00000104504	1	1	0
ENSMUSG00000066693	2	0	2
ENSMUSG00000102316	0	0	0
ENSMUSG00000103819	0	0	0
ENSMUSG00000102871	0	0	0
ENSMUSG00000101571	3	2	1
ENSMUSG00000104428	0	0	0
ENSMUSG00000102272	0	0	0
ENSMUSG00000065625	0	0	0
ENSMUSG00000103411	0	0	0
ENSMUSG00000061024	2251	1097	1154
ENSMUSG00000025911	52	28	32
ENSMUSG00000079671	0	36	49
ENSMUSG00000081441	0	0	0
ENSMUSG00000067879	1237	643	671
ENSMUSG00000099827	0	0	0
ENSMUSG00000025912	397	210	187
ENSMUSG00000045210	8251	4294	4208
ENSMUSG00000097893	13	121	143
ENSMUSG00000025915	177	93	84
ENSMUSG00000046334	1	0	1
ENSMUSG00000088916	0	0	0
ENSMUSG00000046101	84	74	42
ENSMUSG00000098234	730	401	361
ENSMUSG00000093178	1	0	1
ENSMUSG00000099032	7	4	3
ENSMUSG00000104025	0	2	0
ENSMUSG00000025916	38	16	24
ENSMUSG00000087199	0	0	0
ENSMUSG00000095780	0	0	0
ENSMUSG00000025917	6810	3401	3451
ENSMUSG00000056763	680	370	352
ENSMUSG00000102356	0	0	0
ENSMUSG00000067851	5536	2836	2701
ENSMUSG00000088153	0	0	1
ENSMUSG00000102556	0	0	0
ENSMUSG00000042501	1	0	1
ENSMUSG00000103810	0	0	0
ENSMUSG00000083422	1	0	1
ENSMUSG00000094979	0	0	0
ENSMUSG00000081417	0	0	0
ENSMUSG00000103448	0	0	0
ENSMUSG00000100212	0	0	0
ENSMUSG00000100648	4	1	3
ENSMUSG00000088585	0	0	0
ENSMUSG00000048960	370	175	195
ENSMUSG00000077318	0	0	0
ENSMUSG00000101827	11	2	9
ENSMUSG00000103494	0	0	0
ENSMUSG00000057715	2616	1264	1352
ENSMUSG00000103825	0	0	0
ENSMUSG00000099845	0	0	0
ENSMUSG00000103561	0	0	0
ENSMUSG00000101610	2	1	1
ENSMUSG00000093864	0	0	0
ENSMUSG00000098555	0	0	0
ENSMUSG00000097628	12	2	10
ENSMUSG00000098163	0	0	0
ENSMUSG00000097171	0	0	0
ENSMUSG00000101314	0	0	0
ENSMUSG00000016918	995	483	512
ENSMUSG00000025938	62	37	25
ENSMUSG00000104518	0	0	0
ENSMUSG00000069620	0	0	0
ENSMUSG00000099498	0	0	0
ENSMUSG00000042414	0	0	0
ENSMUSG00000005886	4990	2478	2512
ENSMUSG00000103506	0	0	0
ENSMUSG00000103495	0	0	0
ENSMUSG00000099183	0	0	0
ENSMUSG00000102639	0	0	0
ENSMUSG00000104170	0	0	0
ENSMUSG00000087782	0	0	0
ENSMUSG00000103085	0	0	0
ENSMUSG00000102664	0	0	0
ENSMUSG00000101476	0	0	0
ENSMUSG00000101171	1	1	0
ENSMUSG00000025935	1380	648	732
ENSMUSG00000025937	474	247	227
ENSMUSG00000102982	0	0	0
